estacion_origen,estacion_destino,troncal_origen,troncal_destino,id_trazado_origen,id_trazado_destino,distancia_km_real,area_origen_m2,area_destino_m2,capacidad_origen,capacidad_destino,accesos_origen,accesos_destino,misma_troncal,hora_viaje,dia_semana,hora_pico,lluvia,nivel_retraso
Minuto de Dios,AV. Boyacá,Calle_80,Calle_80,TZ005,TZ005,0.62,576.0,672.6,296,304,1,1,1,6,0,1,0,Bajo
De La Sabana,Country Sur,Américas,Carrera_10,TZ009,TZ018,4.21,385.88,461.24,168,264,2,2,0,6,3,1,1,Medio
Calle 100 - Marketmedios,Patio Bonito,Norte,Américas,TZ002,TZ009,13.12,814.44,896.4,392,304,2,2,0,19,0,1,0,Medio
AV. Cali,Olaya,Calle_80,Caracas_Sur,TZ005,TZ012,13.76,568.6,307.28,304,296,1,1,0,5,5,0,0,Medio
Las Aguas - Centro Colombo Americano,AV. 68,Eje_Ambiental,Calle_80,TZ015,TZ005,9.39,0.0,576.0,120,296,3,1,0,23,3,0,1,Alto
AV. 1 Mayo,Parque,Carrera_10,Tunal,TZ018,TZ014,4.72,869.28,0.0,384,60,2,2,0,21,5,0,0,Medio
Prado,León XIII,Norte,Soacha,TZ002,TZ011,20.69,592.0,358.0,248,224,1,1,0,20,3,0,1,Alto
Suba - Calle 100,San Facon Carrera 22,Suba,Américas,TZ003,TZ009,8.94,357.56,520.64,304,272,1,2,0,9,0,0,1,Medio
Las Aguas - Centro Colombo Americano,Paloquemao,Eje_Ambiental,NQS,TZ015,TZ008,2.84,0.0,491.4,120,272,3,1,0,11,2,0,0,Medio
Ciudad Universitaria - Lotería de Bogotá,Pepe Sierra,El_Dorado,Norte,TZ016,TZ002,8.11,522.68,418.48,260,200,2,1,0,6,3,1,0,Medio
Hortúa,Terminal,Caracas_Sur,Norte,TZ012,TZ002,20.45,401.8,146.37,192,152,2,1,0,17,1,1,0,Alto
Portal Usme,AV. 68,Usme,Calle_80,TZ013,TZ005,17.69,0.0,576.0,210,296,1,1,0,13,1,0,0,Alto
CAN,AV. Boyacá,El_Dorado,Calle_80,TZ016,TZ005,5.4,289.44,672.6,260,304,1,1,0,7,2,1,0,Medio
La Despensa,General Santander,Soacha,Autopista_Sur,TZ011,TZ010,6.49,358.0,0.0,224,404,1,1,0,12,5,0,1,Medio
Sevillana,Temporal Calle 34,Autopista_Sur,Caracas,TZ010,TZ001,9.1,397.12,526.4,204,320,1,2,0,19,6,0,0,Medio
Museo Nacional,NQS - Calle 38A S,Carrera_7,Autopista_Sur,TZ019,TZ010,6.5,0.0,615.8,240,212,1,1,0,21,2,0,0,Medio
Ciudad Jardín - UAN,Carrera 53,Carrera_10,Calle_80,TZ018,TZ005,11.24,433.12,183.0,264,152,1,1,0,19,1,1,0,Medio
Gratamira,Minuto de Dios,Suba,Calle_80,TZ003,TZ005,3.9,357.4,576.0,144,296,1,1,0,15,6,0,0,Medio
CDS - Carrera 32,Ferias,Américas,Calle_80,TZ009,TZ005,8.38,385.72,183.0,168,152,2,1,0,15,6,0,1,Medio
Granja - Kr 77,NQS - Calle 38A S,Calle_80,Autopista_Sur,TZ005,TZ010,12.11,1540.0,615.8,392,212,2,1,0,21,2,0,0,Medio
Portal El Dorado – C.C. Nuestro Bogotá,Calle 146,El_Dorado,Norte,TZ016,TZ002,9.64,0.0,345.2,216,248,1,1,0,23,0,0,1,Medio
Policarpa,Pepe Sierra,Carrera_10,Norte,TZ018,TZ002,12.94,494.72,418.48,264,200,2,1,0,5,4,0,0,Bajo
Calle 40 Sur,Calle 161,Caracas_Sur,Norte,TZ012,TZ002,20.13,719.68,517.86,392,96,2,1,0,21,5,0,0,Alto
Calle 100 - Marketmedios,Pepe Sierra,Norte,Norte,TZ002,TZ002,1.6,814.44,418.48,392,200,2,1,1,7,4,1,0,Bajo
Niza - Calle 127,Portal Suba,Suba,Suba,TZ003,TZ003,4.57,374.24,0.0,200,304,2,1,1,23,4,0,0,Bajo
Suba - Calle 95,Humedal Córdoba,Suba,Suba,TZ003,TZ003,2.6,358.28,357.6,144,156,1,1,1,10,6,0,0,Bajo
San Mateo - CC Unisur,Sevillana,Soacha,Autopista_Sur,TZ011,TZ010,6.51,492.8,397.12,424,204,3,1,0,10,6,0,0,Medio
Quirigua,El Tiempo – Cámara de Comercio de Bogotá,Calle_80,El_Dorado,TZ005,TZ016,5.53,183.0,289.44,152,240,1,1,0,15,0,0,0,Bajo
Suba - TV. 91,Quiroga,Suba,Caracas_Sur,TZ003,TZ012,18.28,1095.56,345.4,264,144,2,1,0,23,6,0,0,Alto
Virrey,CAN,Norte,El_Dorado,TZ002,TZ016,5.49,773.12,289.44,352,260,1,1,0,16,0,0,0,Bajo
Carrera 47,Humedal Córdoba,Calle_80,Suba,TZ005,TZ003,3.23,620.0,357.6,304,156,1,1,0,4,6,0,0,Bajo
Centro Memoria,San Mateo - CC Unisur,El_Dorado,Soacha,TZ016,TZ011,14.82,520.04,492.8,260,424,2,3,0,20,4,0,0,Medio
CAD,Concejo de Bogotá,NQS,El_Dorado,TZ008,TZ016,0.52,520.28,491.52,272,260,2,1,0,11,3,0,0,Bajo
CC Paseo Villa del Río - Madelena,Ricaurte - CL 13,Autopista_Sur,Américas,TZ010,TZ009,7.59,357.0,736.8,204,312,1,2,0,23,4,0,1,Medio
Portal Suba,Bosa,Suba,Autopista_Sur,TZ003,TZ010,19.26,0.0,504.32,304,272,1,2,0,9,5,0,1,Alto
Biblioteca Tintal,AV. 1 Mayo,Américas,Carrera_10,TZ009,TZ018,9.94,896.4,869.28,304,384,2,2,0,16,0,0,0,Bajo
Carrera 90,Prado,Calle_80,Norte,TZ005,TZ002,5.87,568.6,592.0,304,248,1,1,0,8,4,1,0,Medio
Alquería,Bosa,Autopista_Sur,Autopista_Sur,TZ010,TZ010,5.21,357.0,504.32,204,272,1,2,1,13,6,0,0,Bajo
Danubio,Bosa,Usme,Autopista_Sur,TZ013,TZ010,8.93,996.0,504.32,304,272,2,2,0,13,5,0,1,Medio
Transversal 86,Universidad Nacional,Américas,NQS,TZ009,TZ008,8.07,347.13,833.59966667,240,412,1,2,0,14,1,0,0,Medio
Portal 80,Escuela Militar,Calle_80,Calle_80,TZ005,TZ005,5.91,0.0,488.0,165,272,1,1,1,12,5,0,1,Bajo
Comuneros,La Campiña,Autopista_Sur,Suba,TZ010,TZ003,15.42,520.64,357.24,252,352,2,1,0,8,1,1,0,Alto
Portal Américas,Ciudad Universitaria - Lotería de Bogotá,Américas,El_Dorado,TZ009,TZ016,9.92,0.0,522.68,342,260,1,2,0,7,1,1,0,Medio
Bosa,Alcalá – Colegio S. Tomás Dominicos,Autopista_Sur,Norte,TZ010,TZ002,19.94,504.32,820.76,272,392,2,2,0,4,3,0,1,Alto
La Despensa,Universidades – CityU,Soacha,El_Dorado,TZ011,TZ016,13.44,358.0,491.4,224,260,1,2,0,7,0,1,0,Alto
Calle 106 - Maletas Explora,Santa Isabel,Norte,Autopista_Sur,TZ002,TZ010,11.38,627.42,357.04,248,240,1,1,0,15,3,0,1,Alto
Calle 127,San Mateo - CC Unisur,Norte,Soacha,TZ002,TZ011,21.33,418.28,492.8,200,424,1,3,0,9,2,0,0,Medio
Portal Suba,Escuela Militar,Suba,Calle_80,TZ003,TZ005,8.38,0.0,488.0,304,272,1,1,0,8,2,1,0,Medio
Banderas,CDS - Carrera 32,Américas,Américas,TZ009,TZ009,5.99,0.0,385.72,608,168,2,2,1,8,2,1,0,Bajo
Calle 45 - American School Way,Movistar Arena,Caracas,NQS,TZ001,TZ008,2.37,638.89,491.28,320,272,2,1,0,14,3,0,0,Bajo
Ciudad Universitaria - Lotería de Bogotá,Portal El Dorado – C.C. Nuestro Bogotá,El_Dorado,El_Dorado,TZ016,TZ016,7.03,522.68,0.0,260,216,2,1,1,10,4,0,1,Bajo
Quinta Paredes,Movistar Arena,El_Dorado,NQS,TZ016,TZ008,2.15,289.47,491.28,260,272,1,1,0,10,0,0,0,Bajo
AV. Cali,Bosa,Calle_80,Autopista_Sur,TZ005,TZ010,14.78,568.6,504.32,304,272,1,2,0,8,6,0,0,Medio
Prado,San Mateo - CC Unisur,Norte,Soacha,TZ002,TZ011,22.17,592.0,492.8,248,424,1,3,0,23,0,0,0,Medio
Bosa,Guatoque - Veraguas,Autopista_Sur,Calle_13,TZ010,TZ007,9.6,504.32,415.2,272,240,2,1,0,9,0,0,0,Medio
Sevillana,Portal Sur - JFK Coop. Financiera,Autopista_Sur,Autopista_Sur,TZ010,TZ010,2.43,397.12,0.0,204,228,1,2,1,5,3,0,0,Bajo
Suba - TV. 91,San Victorino,Suba,Carrera_10,TZ003,TZ018,15.37,1095.56,791.2,264,384,2,2,0,13,1,0,0,Medio
Las Nieves,Calle 63,Carrera_10,Caracas,TZ018,TZ001,4.82,520.4,656.6,264,0,2,2,0,22,4,0,0,Medio
De La Sabana,Danubio,Américas,Usme,TZ009,TZ013,8.11,385.88,996.0,168,304,2,2,0,11,2,0,0,Medio
NQS - Calle 30 S,Tercer Milenio,Autopista_Sur,Caracas,TZ010,TZ001,3.79,358.48,644.0,232,320,1,2,0,8,2,1,1,Alto
Quinta Paredes,Quiroga,El_Dorado,Caracas_Sur,TZ016,TZ012,7.15,289.47,345.4,260,144,1,1,0,19,1,1,0,Alto
Biblioteca,Minuto de Dios,Tunal,Calle_80,TZ014,TZ005,14.71,0.0,576.0,60,296,1,1,0,12,5,0,1,Alto
Museo Nacional,Minuto de Dios,Carrera_7,Calle_80,TZ019,TZ005,9.42,0.0,576.0,240,296,1,1,0,13,0,0,0,Medio
Calle 106 - Maletas Explora,Restrepo,Norte,Caracas_Sur,TZ002,TZ012,13.34,627.42,480.68,248,200,1,2,0,9,3,0,0,Medio
Bicentenario,Consuelo,Carrera_10,Caracas_Sur,TZ018,TZ012,5.99,733.04,326.28,384,192,1,1,0,10,0,0,0,Medio
Carrera 53,San Bernardo,Calle_80,Carrera_10,TZ005,TZ018,10.22,183.0,462.84,152,264,1,2,0,22,1,0,0,Medio
Museo Nacional,Ricaurte - CL 13,Carrera_7,Américas,TZ019,TZ009,2.37,0.0,736.8,240,312,1,2,0,14,0,0,1,Medio
Ricaurte - NQS,CAN,NQS,El_Dorado,TZ008,TZ016,3.96,996.188,289.44,392,260,2,1,0,14,1,0,0,Bajo
Portal Suba,Ciudad Universitaria - Lotería de Bogotá,Suba,El_Dorado,TZ003,TZ016,12.95,0.0,522.68,304,260,1,2,0,23,5,0,0,Medio
Avenida Rojas - UNISALESIANA,León XIII,El_Dorado,Soacha,TZ016,TZ011,12.15,531.51,358.0,320,224,1,1,0,18,2,1,0,Alto
Modelia,Campín - UAN,El_Dorado,NQS,TZ016,TZ008,5.39,288.87,491.28,260,272,1,2,0,4,3,0,0,Bajo
CDS - Carrera 32,Olaya,Américas,Caracas_Sur,TZ009,TZ012,4.4,385.72,307.28,168,296,2,1,0,11,0,0,0,Medio
Zona Industrial,Ricaurte - CL 13,Américas,Américas,TZ009,TZ009,1.22,385.16,736.8,168,312,2,2,1,7,6,0,0,Bajo
Flores – Areandina,Héroes,Caracas,Norte,TZ001,TZ002,1.5,384.125,669.6,192,264,2,1,0,7,3,1,0,Medio
Puentelargo,Prado,Suba,Norte,TZ003,TZ002,2.86,357.44,592.0,200,248,1,1,0,15,5,0,0,Bajo
La Campiña,Puentelargo,Suba,Suba,TZ003,TZ003,6.09,357.24,357.44,352,200,1,1,1,9,6,0,0,Bajo
Museo Nacional,Portal Norte – Unicervantes,Carrera_7,Norte,TZ019,TZ002,15.71,0.0,0.0,240,210,1,1,0,4,1,0,1,Medio
CDS - Carrera 32,Hortúa,Américas,Caracas_Sur,TZ009,TZ012,2.84,385.72,401.8,168,192,2,2,0,15,3,0,0,Medio
Campín - UAN,Parque,NQS,Tunal,TZ008,TZ014,10.63,491.28,0.0,272,60,2,2,0,12,5,0,0,Medio
Calle 100 - Marketmedios,Hospital,Norte,Caracas_Sur,TZ002,TZ012,10.38,814.44,369.48,392,96,2,2,0,14,1,0,0,Alto
La Campiña,AV. Jiménez - CL 13,Suba,Eje_Ambiental,TZ003,TZ015,15.58,357.24,0.0,352,272,1,1,0,19,1,1,0,Alto
SENA,Santa Lucía,Autopista_Sur,Caracas_Sur,TZ010,TZ012,3.32,400.04,486.24,304,272,1,2,0,10,3,0,0,Medio
Calle 63,CDS - Carrera 32,Caracas,Américas,TZ001,TZ009,4.82,656.6,385.72,0,168,2,2,0,6,5,0,1,Medio
Museo Nacional,AV. Chile,Carrera_7,NQS,TZ019,TZ008,5.71,0.0,694.56,240,344,1,2,0,12,2,0,0,Bajo
Temporal Calle 34,Portal Tunal,Caracas,Tunal,TZ001,TZ014,9.63,526.4,0.0,320,152,2,2,0,21,5,0,1,Medio
Salitre - El Greco,Virrey,El_Dorado,Norte,TZ016,TZ002,5.49,289.44,773.12,260,352,1,1,0,5,5,0,0,Bajo
Universidades – CityU,NQS - Calle 38A S,El_Dorado,Autopista_Sur,TZ016,TZ010,6.37,491.4,615.8,260,212,2,1,0,16,5,0,0,Medio
Terminal,Carrera 53,Norte,Calle_80,TZ002,TZ005,10.38,146.37,183.0,152,152,1,1,0,10,5,0,0,Medio
Portal Sur - JFK Coop. Financiera,Portal 20 de Julio,Autopista_Sur,Carrera_10,TZ010,TZ018,8.73,0.0,0.0,228,350,2,1,0,15,6,0,0,Medio
AV. Boyacá,AV. 39,Calle_80,Caracas,TZ005,TZ001,7.73,672.6,644.0,304,312,1,2,0,5,3,0,0,Bajo
Calle 45 - American School Way,SENA,Caracas,Autopista_Sur,TZ001,TZ010,6.07,638.89,400.04,320,304,2,1,0,6,4,1,0,Medio
Suba - Calle 116,Biblioteca,Suba,Tunal,TZ003,TZ014,15.83,386.4,0.0,200,60,1,1,0,7,6,0,1,Alto
Niza - Calle 127,Corferias,Suba,El_Dorado,TZ003,TZ016,8.85,374.24,424.28,200,252,2,1,0,21,2,0,0,Medio
Calle 75 - Zona M,Danubio,NQS,Usme,TZ008,TZ013,15.1,463.24,996.0,272,304,1,2,0,20,1,0,0,Medio
Calle 187,Concejo de Bogotá,Norte,El_Dorado,TZ002,TZ016,15.78,122.7,491.52,152,260,1,1,0,11,6,0,0,Medio
Restrepo,NQS - Calle 30 S,Caracas_Sur,Autopista_Sur,TZ012,TZ010,2.32,480.68,358.48,200,232,2,1,0,10,3,0,1,Medio
Parque,Zona Industrial,Tunal,Américas,TZ014,TZ009,7.07,0.0,385.16,60,168,2,2,0,18,0,1,0,Alto
Portal El Dorado – C.C. Nuestro Bogotá,CAD,El_Dorado,NQS,TZ016,TZ008,7.67,0.0,520.28,216,272,1,2,0,9,6,0,0,Bajo
Polo - FINCOMERCIO,Centro Memoria,Calle_80,El_Dorado,TZ005,TZ016,5.68,880.0,520.04,360,260,1,2,0,11,3,0,1,Bajo
Tygua - San José,AV. Jiménez - CL 13,Calle_13,Eje_Ambiental,TZ007,TZ015,1.13,486.68,0.0,228,272,2,1,0,14,5,0,0,Bajo
San Martín,Bosa,Suba,Autopista_Sur,TZ003,TZ010,15.42,357.48,504.32,192,272,1,2,0,6,2,1,0,Alto
Molinos,Suba - Calle 100,Caracas_Sur,Suba,TZ012,TZ003,15.78,432.48,357.56,304,304,2,1,0,12,6,0,0,Alto
San Facon Carrera 22,Hortúa,Américas,Caracas_Sur,TZ009,TZ012,2.13,520.64,401.8,272,192,2,2,0,17,5,0,0,Medio
Mazurén,Gratamira,Norte,Suba,TZ002,TZ003,2.93,552.416,357.4,248,144,1,1,0,4,6,0,0,Medio
Hospital,NQS - Calle 30 S,Caracas_Sur,Autopista_Sur,TZ012,TZ010,3.51,369.48,358.48,96,232,2,1,0,23,1,0,0,Alto
Portal 20 de Julio,Minuto de Dios,Carrera_10,Calle_80,TZ018,TZ005,14.6,0.0,576.0,350,296,1,1,0,14,1,0,0,Medio
Temporal Calle 22,21 Ángeles,Caracas,Suba,TZ001,TZ003,13.97,642.95,376.6,320,144,2,1,0,15,1,0,0,Medio
La Despensa,Prado,Soacha,Norte,TZ011,TZ002,20.09,358.0,592.0,224,248,1,1,0,11,3,0,0,Alto
Calle 142,Alquería,Norte,Autopista_Sur,TZ002,TZ010,17.42,663.27,357.0,180,204,1,1,0,4,3,0,1,Alto
Calle 72,Calle 40 Sur,Caracas,Caracas_Sur,TZ001,TZ012,11.2,734.52,719.68,0,392,2,2,0,14,2,0,1,Alto
Comuneros,Perdomo,Autopista_Sur,Autopista_Sur,TZ010,TZ010,7.28,520.64,396.96,252,200,2,1,1,9,6,0,0,Bajo
Portal Tunal,Museo del Oro,Tunal,Eje_Ambiental,TZ014,TZ015,8.15,0.0,0.0,152,144,2,2,0,11,6,0,0,Medio
CC Paseo Villa del Río - Madelena,Comuneros,Autopista_Sur,Autopista_Sur,TZ010,TZ010,6.38,357.0,520.64,204,252,1,2,1,8,2,1,0,Medio
Avenida Rojas - UNISALESIANA,Olaya,El_Dorado,Caracas_Sur,TZ016,TZ012,9.23,531.51,307.28,320,296,1,1,0,13,0,0,1,Alto
AV. Américas - AV. Boyacá,Virrey,Américas,Norte,TZ009,TZ002,9.77,347.145,773.12,272,352,1,1,0,5,4,0,1,Medio
Prado,Bosa,Norte,Autopista_Sur,TZ002,TZ010,19.35,592.0,504.32,248,272,1,2,0,5,5,0,1,Alto
AV. 39,Consuelo,Caracas,Caracas_Sur,TZ001,TZ012,9.61,644.0,326.28,312,192,2,1,0,4,6,0,1,Alto
Quirigua,Alcalá – Colegio S. Tomás Dominicos,Calle_80,Norte,TZ005,TZ002,6.55,183.0,820.76,152,392,1,2,0,8,2,1,0,Medio
Puente Aranda,Biblioteca Tintal,Américas,Américas,TZ009,TZ009,6.21,356.8,896.4,168,304,1,2,1,10,4,0,0,Bajo
Consuelo,Universidades – CityU,Caracas_Sur,El_Dorado,TZ012,TZ016,7.98,326.28,491.4,192,260,1,2,0,7,1,1,0,Alto
Temporal Marly,Perdomo,Caracas,Autopista_Sur,TZ001,TZ010,11.83,594.44,396.96,320,200,2,1,0,16,3,0,0,Medio
Bicentenario,Alquería,Carrera_10,Autopista_Sur,TZ018,TZ010,5.81,733.04,357.0,384,204,1,1,0,13,5,0,0,Medio
Biblioteca Tintal,Minuto de Dios,Américas,Calle_80,TZ009,TZ005,9.94,896.4,576.0,304,296,2,1,0,18,0,1,1,Medio
Corferias,Modelia,El_Dorado,El_Dorado,TZ016,TZ016,5.45,424.28,288.87,252,260,1,1,1,10,4,0,0,Bajo
Mandalay,Ricaurte - NQS,Américas,NQS,TZ009,TZ008,5.67,347.115,996.188,240,392,1,2,0,14,4,0,0,Bajo
Ciudad Universitaria - Lotería de Bogotá,AV. 68,El_Dorado,Calle_80,TZ016,TZ005,6.15,522.68,576.0,260,296,2,1,0,21,3,0,0,Bajo
Modelia,Bicentenario,El_Dorado,Carrera_10,TZ016,TZ018,9.82,288.87,733.04,260,384,1,1,0,5,2,0,0,Medio
Ricaurte - NQS,Calle 72,NQS,Caracas,TZ008,TZ001,6.26,996.188,734.52,392,0,2,2,0,17,5,0,1,Medio
San Mateo - CC Unisur,7 de Agosto,Soacha,NQS,TZ011,TZ008,16.23,492.8,492.92,424,260,3,1,0,9,0,0,0,Medio
Pradera - Plaza Central,Perdomo,Américas,Autopista_Sur,TZ009,TZ010,6.29,268.83,396.96,200,200,1,1,0,8,1,1,0,Alto
Ciudad Universitaria - Lotería de Bogotá,Temporal Calle 57,El_Dorado,Caracas,TZ016,TZ001,2.38,522.68,526.365,260,320,2,2,0,21,4,0,1,Bajo
Calle 187,Portal El Dorado – C.C. Nuestro Bogotá,Norte,El_Dorado,TZ002,TZ016,12.46,122.7,0.0,152,216,1,1,0,21,3,0,1,Medio
Puente Aranda,Suba - Calle 95,Américas,Suba,TZ009,TZ003,8.01,356.8,358.28,168,144,1,1,0,18,6,0,0,Medio
Mazurén,Gobernación,Norte,El_Dorado,TZ002,TZ016,11.47,552.416,289.47,248,260,1,1,0,11,2,0,0,Medio
Bicentenario,Santa Isabel,Carrera_10,Autopista_Sur,TZ018,TZ010,2.46,733.04,357.04,384,240,1,1,0,13,5,0,0,Medio
Calle 40 Sur,Normandía,Caracas_Sur,El_Dorado,TZ012,TZ016,10.39,719.68,318.09,392,260,2,1,0,17,6,0,0,Medio
Olaya,La Campiña,Caracas_Sur,Suba,TZ012,TZ003,18.29,307.28,357.24,296,352,1,1,0,18,6,0,0,Alto
El Tiempo – Cámara de Comercio de Bogotá,Avenida Rojas - UNISALESIANA,El_Dorado,El_Dorado,TZ016,TZ016,0.64,289.44,531.51,240,320,1,1,1,13,1,0,0,Bajo
Calle 100 - Marketmedios,Temporal Calle 34,Norte,Caracas,TZ002,TZ001,7.06,814.44,526.4,392,320,2,2,0,13,3,0,0,Bajo
Puentelargo,Calle 146,Suba,Norte,TZ003,TZ002,4.59,357.44,345.2,200,248,1,1,0,8,0,1,0,Medio
Guatoque - Veraguas,Portal Sur - JFK Coop. Financiera,Calle_13,Autopista_Sur,TZ007,TZ010,8.28,415.2,0.0,240,228,1,2,0,6,4,1,1,Alto
Suba - AV. Boyacá,Virrey,Suba,Norte,TZ003,TZ002,5.33,707.0,773.12,144,352,2,1,0,7,4,1,1,Alto
Terreros - Hospital Cardio Vascular,Banderas,Soacha,Américas,TZ011,TZ009,7.59,358.0,0.0,356,608,1,2,0,20,1,0,1,Medio
Escuela Militar,AV. Américas - AV. Boyacá,Calle_80,Américas,TZ005,TZ009,8.75,488.0,347.145,272,272,1,1,0,16,2,0,1,Medio
Temporal Marly,Calle 100 - Marketmedios,Caracas,Norte,TZ001,TZ002,5.26,594.44,814.44,320,392,2,2,0,20,4,0,0,Bajo
Las Nieves,Olaya,Carrera_10,Caracas_Sur,TZ018,TZ012,4.75,520.4,307.28,264,296,2,1,0,8,3,1,0,Alto
Niza - Calle 127,Portal Américas,Suba,Américas,TZ003,TZ009,14.46,374.24,0.0,200,342,2,1,0,22,6,0,0,Medio
AV. Américas - AV. Boyacá,Puentelargo,Américas,Suba,TZ009,TZ003,10.23,347.145,357.44,272,200,1,1,0,6,1,1,0,Medio
Distrito Grafiti,San Facon Carrera 22,Américas,Américas,TZ009,TZ009,3.41,347.145,520.64,272,272,1,2,1,20,4,0,1,Bajo
Temporal Calle 22,NQS - Calle 30 S,Caracas,Autopista_Sur,TZ001,TZ010,4.99,642.95,358.48,320,232,2,1,0,7,5,0,0,Medio
Las Nieves,Carrera 43 - Comapan,Carrera_10,Américas,TZ018,TZ009,3.53,520.4,385.8,264,168,2,2,0,21,1,0,1,Medio
León XIII,San Mateo - CC Unisur,Soacha,Soacha,TZ011,TZ011,1.53,358.0,492.8,224,424,1,3,1,15,4,0,0,Bajo
AV. Cali,Patio Bonito,Calle_80,Américas,TZ005,TZ009,10.5,568.6,896.4,304,304,1,2,0,13,3,0,0,Bajo
Santa Isabel,Calle 26,Autopista_Sur,Caracas,TZ010,TZ001,3.76,357.04,638.82,240,0,1,2,0,20,6,0,0,Alto
Venecia,Portal Usme,Autopista_Sur,Usme,TZ010,TZ013,7.55,423.72,0.0,204,210,1,1,0,14,2,0,1,Medio
Portal Suba,Portal El Dorado – C.C. Nuestro Bogotá,Suba,El_Dorado,TZ003,TZ016,7.85,0.0,0.0,304,216,1,1,0,11,1,0,1,Medio
Temporal Calle 34,Portal Américas,Caracas,Américas,TZ001,TZ009,11.49,526.4,0.0,320,342,2,1,0,10,0,0,0,Medio
Quinta Paredes,Quirigua,El_Dorado,Calle_80,TZ016,TZ005,7.89,289.47,183.0,260,152,1,1,0,5,5,0,1,Medio
